07.09.2024 03:00;0,472;0,409
07.09.2024 04:00;0,513;0,409
07.09.2024 05:00;0,515;0,599
07.09.2024 06:00;0,517;3,001
07.09.2024 07:00;0,464;7,1
07.09.2024 08:00;0,629;0,562
07.09.2024 09:00;0,533;0,861
07.09.2024 10:00;1,375;1,601
07.09.2024 11:00;1,24;0,996
07.09.2024 12:00;2,26;0,756
07.09.2024 13:00;0,922;0,527
07.09.2024 14:00;0,608;0,124
07.09.2024 15:00;0,397;0,31
07.09.2024 16:00;0,452;0,575
07.09.2024 17:00;0,387;4,296
07.09.2024 18:00;0,441;11,143
07.09.2024 19:00;0,414;14,363
07.09.2024 20:00;0,494;15,562
07.09.2024 21:00;0,439;12,091
07.09.2024 22:00;0,526;4,822
07.09.2024 23:00;0,451;4,147
08.09.2024 00:00;1,797;0,599
08.09.2024 01:00;0,397;0,519
08.09.2024 02:00;0,451;0,454
08.09.2024 03:00;0,37;0,397
08.09.2024 04:00;0,411;0,388
08.09.2024 05:00;0,43;0,375
08.09.2024 06:00;0,396;0,41
08.09.2024 07:00;0,309;0,599
08.09.2024 08:00;0,631;0,6
08.09.2024 09:00;1,703;3,637
08.09.2024 10:00;0,666;3,961
08.09.2024 11:00;0,539;0,624
08.09.2024 12:00;0,522;0,249
08.09.2024 13:00;0,8;0,004
08.09.2024 14:00;1,607;0,001
08.09.2024 15:00;1,264;0,119
08.09.2024 16:00;2,052;0,6
08.09.2024 17:00;0,472;3,984
08.09.2024 18:00;0,545;8,005
08.09.2024 19:00;0,462;11,669
08.09.2024 20:00;0,776;8,009
08.09.2024 21:00;1,584;8,002
08.09.2024 22:00;1,673;1,106
08.09.2024 23:00;0,559;0,162
09.09.2024 00:00;0,414;0,005
09.09.2024 01:00;0,398;
09.09.2024 02:00;0,428;-0,001
09.09.2024 03:00;0,384;-0,001
09.09.2024 04:00;0,416;-0,001
09.09.2024 05:00;0,425;
09.09.2024 06:00;0,396;0,409
09.09.2024 07:00;0,383;3,001
09.09.2024 08:00;0,487;0,788
09.09.2024 09:00;0,439;0,376
